ID,Area,Feature,User Story,Expected Behaviour,Source,Status,Test Result,Issues / Notes
LOG-1,Log,Training day tabs,"As a lifter, I want to see and switch between training days on the Log tab, so that I log only the exercises for the day I am training","On load and after save, #dayTabs renders one role=""tab"" button per distinct day in state.program, sorted with numeric locale compare; the current day gets class active. Clicking a tab sets global day from data-day, re-runs renderTabs() and renderWorkout() only (workout cards and gauge/meta refresh for that day).",renderTabs() ~93-95,Verified — pass,Re-confirmed in browser post-fix; no regression.,
LOG-2,Log,Invalid day fallback,"As a lifter, I want the app to recover if my selected day no longer exists, so that the Log tab never shows an empty or broken state","When renderTabs() runs, if global day is not in days(), it is reset to days()[0] or ""Day 1""; tabs and workout then render for that fallback day.",renderTabs() ~93-94; days() ~75,Verified — pass,Re-confirmed in browser post-fix; no regression.,
LOG-3,Log,Exercise workout cards,"As a lifter, I want one card per exercise on the active day, so that I can see prescription and log all sets in context","renderWorkout() maps exercises() (filtered to current day, sorted by order then name) into article.exercise cards showing exercise name, sets×min-max reps · RIR 0-rirHigh meta, and primary-muscle tag; plus column headers Set/kg/reps/RIR and ex.sets set rows numbered 1..N.",renderWorkout() ~97-116; exercises() ~76,Verified — pass,Re-confirmed in browser post-fix; no regression.,
LOG-4,Log,Set row inputs and accessibility,"As a lifter using assistive tech, I want labeled kg/reps/RIR inputs per set, so that I can enter data accurately on mobile","Each set row renders three number inputs with data-k=""{ex.id}_{n}_{load",reps,Verified — pass,Re-confirmed in browser post-fix; no regression.,
LOG-5,Log,Default set value prefilling,"As a lifter, I want sensible defaults when opening the Log tab, so that I can confirm or tweak rather than type everything from scratch","For each set n, kg defaults to draft value if present, else fmt(recommendation.load ?? last-session set-n load ?? 0); reps default to draft or ex.min; RIR default to draft or 1. Recommendation load is omitted (null) for exercises with no history.",renderWorkout() ~100-106; recommendation() ~81-83,Verified — fixed,"Re-tested: new-lift kg shows blank placeholder; typing 80 reads ""80""; reps select-on-focus replaces cleanly.",FIXED: blank kg default + select-on-focus on set inputs.
LOG-6,Log,Draft autosave and restore,"As a lifter, I want in-progress entries saved as I type, so that a refresh or accidental navigation does not lose my workout","On any #workout input event, all workout input values are collected by data-k into an object and written to localStorage key repforge_draft_v1. On the next renderWorkout(), any draft key overrides the computed defaults for that field. Successful save removes the draft key entirely.","renderWorkout() ~98,118; saveWorkout() ~132",Verified — pass,Re-confirmed in browser post-fix; no regression.,
LOG-7,Log,Last session display,"As a lifter, I want to see my previous session sets for each exercise, so that I can compare against today attempt","When last(ex.name) returns sets from the most recent log session for that exercise name (latest by date, then created), a Last: line shows each set as load×reps @rir; if no history, the block is omitted.","last() ~77-78; renderWorkout() ~100-101,115",Verified — pass,Re-confirmed in browser post-fix; no regression.,
LOG-8,Log,New-lift recommendation,"As a new user, I want guidance when an exercise has no log history, so that I know how to pick a starting load","With empty last(ex.name), recommendation() returns status:new, heat:0.12, chip label New lift, text instructing to pick a load for min-max reps at 0-rirHigh RIR, and load:null (no target kg appended). Card gets class is-new.",recommendation() ~82-83; renderWorkout() ~108-114,Verified — pass,Re-confirmed in browser post-fix; no regression.,
LOG-9,Log,Add-load recommendation,"As a lifter who topped the rep range, I want a load increase suggestion, so that I progress when every set hit the top reps","From last session: median load, minReps=min(reps), rir=avg(rirs). If minReps>=ex.max and rir<rirHigh+1: status:add, heat:0.82, label Add load, text to add weight, load=round(median+max(median*jumpPct/100, minJump)); recommendation paragraph appends Target {load} kg.",recommendation() ~84-86; round() ~78,Verified — pass,Re-confirmed in browser post-fix; no regression.,
LOG-10,Log,Bold add-load recommendation,"As a lifter who topped the range with reps in reserve, I want a larger jump suggestion, so that I capitalize on an easy session","If minReps>=ex.max and avg(rirs)>=rirHigh+1: status:add2, heat:1, label Add load ++, bold-jump copy, load=round(median+max(median*jumpPct*2/100, minJump)). Takes precedence over plain add. Card class is-add2.",recommendation() ~85,Verified — pass,Re-confirmed in browser post-fix; no regression.,
LOG-11,Log,Hold recommendation,"As a lifter still inside the rep range, I want to keep load and chase reps, so that I follow double progression","If history exists and minReps>=ex.min but minReps<ex.max: status:hold, heat:0.48, label Hold · add reps, hold-and-add-reps text, load = last session median (unchanged). Prefilled kg uses that load.",recommendation() ~87-88,Verified — pass,Re-confirmed in browser post-fix; no regression.,
LOG-12,Log,Reduce recommendation,"As a lifter who missed the bottom of the range, I want a back-off signal, so that I rebuild instead of forcing load","If minReps<ex.min: status:reduce, heat:0.18, label Back off, text that a set dropped below min reps and to hold or trim load; load remains last session median (not auto-reduced). Card class is-reduce.",recommendation() ~87,Verified — pass,Re-confirmed in browser post-fix; no regression.,
LOG-13,Log,Per-exercise heat bar and chip,"As a lifter, I want a visual heat meter and status chip on each exercise, so that I can scan progression readiness at a glance","Each card renders .heat__fill at width round(recommendation.heat*100)% and a .chip with recommendation.label; article class is-{status} drives CSS heat styling (is-new, is-hold, is-add, is-add2, is-reduce).",renderWorkout() ~112-113,Verified — pass,Re-confirmed in browser post-fix; no regression.,
LOG-14,Log,Top-bar session heat gauge,"As a lifter, I want a session-level heat indicator in the header, so that I see how many lifts on this day are ready to add load","updateGauge() counts current-day exercises whose recommendation status is add or add2; sets #heatGauge .gauge__fill width to (hot/total)*100% (0% if no exercises), label to {hot} hot when hot>0 else forge, and toggles class is-hot on the gauge when hot>0.",updateGauge() ~122-126,Verified — pass,Re-confirmed in browser post-fix; no regression.,
LOG-15,Log,Save button meta,"As a lifter, I want the save button to show day and set count, so that I confirm scope before committing",#saveMeta text is {current day} · {N} sets where N is the sum of sets for all exercises on the active day; updated whenever the workout renders.,updateSaveMeta() ~128,Verified — pass,Re-confirmed in browser post-fix; no regression.,
LOG-16,Log,Session date picker,"As a lifter, I want to set the workout date, so that I can backdate or correct the session date","#date is a type=""date"" input; init() sets it to today() (local YYYY-MM-DD). On save, #date.value is used, falling back to today() if empty.",index.html ~38; init() ~315; saveWorkout() ~130,Verified — pass,Re-confirmed in browser post-fix; no regression.,
LOG-17,Log,Session notes,"As a lifter, I want optional session notes, so that I can record context with the workout","#notes textarea accepts free text; on save its trimmed value is copied onto every logged set row notes field, then the textarea is cleared. Draft autosave does not persist notes.",index.html ~44-46; saveWorkout() ~130-132,Verified — pass,Re-confirmed in browser post-fix; no regression.,
LOG-18,Log,Save workout flow,"As a lifter, I want to commit the Log form and persist all sets, so that my session appears in Stats and History","Submitting #logForm calls saveWorkout(): prevents default; builds session id {date}_{day}_{timestamp}; for each exercise and each set pushes a row with name, set number, parsed load/reps/rir (NaN to 0), shared notes, created ISO timestamp; appends to state.log and saves; clears draft and notes; toggles .btn--save.is-stamped animation; toast Workout forged — N sets logged.; calls full render().",saveWorkout() ~130-134,Verified — pass,Re-confirmed in browser post-fix; no regression.,
STATS-1,Stats,Global metric tiles,"As a lifter, I want four overview metrics on the Stats tab, so that I can see my overall training volume at a glance",renderStats() fills #metrics with four tiles: Sessions = count of unique session IDs; Sets logged = state.log.length; Volume = kfmt(sum of load×reps) with kg suffix; Best e1RM = fmt(round(max e1rm)) with kg and metric--hot styling.,renderStats() ~144-154,Verified — pass,Re-confirmed in browser post-fix; no regression.,
STATS-2,Stats,Exercise selector population,"As a lifter, I want a dropdown of every logged exercise, so that I can pick which lift to analyze","#statExercise is rebuilt from unique exercise names in state.log, sorted alphabetically; if the log is empty a single No data option is shown; changing the select triggers renderStats() via onchange.",renderStats() ~145-159; init() ~317,Verified — pass,Re-confirmed in browser post-fix; no regression.,
STATS-3,Stats,Exercise selector persistence,"As a lifter, I want my exercise choice to survive re-renders, so that saving a workout does not reset the chart","Before rebuilding options, renderStats() stores the current #statExercise value in old; after repopulating, it restores old only when names.includes(old); otherwise first option applies.",renderStats() ~156-159,Verified — pass,Re-confirmed in browser post-fix; no regression.,
STATS-4,Stats,Per-session exercise summaries,"As a lifter, I want each exercise aggregated per workout session, so that charts and tables reflect session-level performance",summaries() groups state.log rows by session,"name; computes top=max load (topReps at that load), volume=sum(load×reps), e1rm=best e1rm, reps=sum, rir=avg, sets=count; sorted by date then session ascending.",Verified — pass,Re-confirmed in browser post-fix; no regression.,
STATS-5,Stats,Top-load trend summary,"As a lifter, I want a text summary of load progression, so that I can see direction without reading the chart","When rows exist, #trend shows Top load first→latest kg, a delta span with class up/down and ▲/▼/· plus abs(delta) kg over N session(s), and Best e1RM kg; when no rows, #trend is cleared.",renderStats() ~162-167,Verified — pass,Re-confirmed in browser post-fix; no regression.,
STATS-6,Stats,Chart empty state,"As a lifter, I want guidance when no data exists for the selected exercise, so that I know what to do next","draw() clears the canvas and, when rows.length===0, draws centered steel text Log this lift to chart its progression. then returns without axes/series.",draw() ~174-180,Verified — pass,Re-confirmed in browser post-fix; no regression.,
STATS-7,Stats,Chart axes and scale,"As a lifter, I want a readable Y-axis scale, so that load values are interpretable","With data, draw() maps index to X (single point centered; multiple spread across) and top to Y using lo=max(0,min-25%span) and hi=max+25%span; draws 4 gridlines with right-aligned Y labels; X-axis shows shortDate first and last.",draw() ~181-205,Verified — pass,Re-confirmed in browser post-fix; no regression.,
STATS-8,Stats,Chart series styling,"As a lifter, I want a visually rich progression line, so that recent progress stands out","draw() fills ember gradient area under line; strokes quench→gold→white gradient line; gold r3 points, white r5 last point with ember shadow; labels latest top as {top}kg offset by edge proximity.",draw() ~187-201,Verified — pass,Re-confirmed in browser post-fix; no regression.,
STATS-9,Stats,Recent performance table,"As a lifter, I want a table of my last sessions for the selected exercise, so that I can review recent numbers quickly","#recent renders via table() the last 8 summary rows (newest first) with columns Date, Top, Reps, RIR, e1RM, Vol; empty rows show No data yet.",renderStats() ~169; table() ~304-305,Verified — pass,Re-confirmed in browser post-fix; no regression.,
STATS-10,Stats,Top loads table,"As a lifter, I want a leaderboard of my heaviest set per exercise, so that I can compare best loads across lifts","#tops builds one row per logged exercise name: the raw log entry with highest load for that name, sorted by load descending; columns Exercise, kg, Reps, RIR, Date; empty log yields No data yet.",renderStats() ~170-171,Verified — pass,Re-confirmed in browser post-fix; no regression.,
STATS-11,Stats,e1RM and number formatting,"As a lifter, I want consistent numeric display in Stats, so that values are readable and comparable","e1rm(load,reps)=load×(1+reps/30) when both>0 else 0; fmt() renders ints plainly and decimals trimmed; kfmt() shows >=10000 as k otherwise round; used across tiles, trend, chart, tables.",e1rm() ~10; fmt() ~6; kfmt() ~7,Verified — pass,Re-confirmed in browser post-fix; no regression.,
HIST-1,History,Sessions list newest-first,"As a lifter, I want one card per saved workout sorted by most recent first, so that I can quickly find my latest sessions","renderHistory() deduplicates state.log into one object per unique session id via Map, then sorts descending by created. Each session renders as a .session card inside #sessions; latest created appears first.",renderHistory() ~209-217,Verified — pass,Re-confirmed in browser post-fix; no regression.,
HIST-2,History,Session card day date set count,"As a lifter, I want each session card to show training day, date, and number of sets, so that I can scan sessions at a glance",Each card shows s.day in .session__day and s.date plus sets.length labeled sets in .session__sub as {date} · {n} sets · …; all dynamic text passed through esc().,renderHistory() ~211-215,Verified — pass,Re-confirmed in browser post-fix; no regression.,
HIST-3,History,Session top set display,"As a lifter, I want to see the heaviest set in each session, so that I can compare peak performance","For each session, sets reduce to the row with strictly greatest numeric load; card shows fmt(top.load)×top.reps in .session__stat. If no set has load>0, shows 0×0.",renderHistory() ~212-215,Verified — pass,Re-confirmed in browser post-fix; no regression.,
HIST-4,History,Session volume summary,"As a lifter, I want total session volume on each card, so that I can gauge overall training load",Session volume = sum((load,,Verified — pass,Re-confirmed in browser post-fix; no regression.,
HIST-5,History,Sessions empty state,"As a new user, I want a clear message when no workouts exist, so that I know how to start logging","When the deduplicated sessions array is empty, #sessions shows .table>.empty with text No sessions yet. Forge your first on the Log tab.",renderHistory() ~217,Verified — pass,Re-confirmed in browser post-fix; no regression.,
HIST-6,History,Delete session confirmation gate,"As a lifter, I want a confirmation before deleting a session, so that I do not remove data by accident",Each card has a Delete button (.session__del) with data-del=session id. Click runs confirm(Delete this session? This cannot be undone.); cancel leaves state.log unchanged with no save/render/toast.,renderHistory() ~216-218,Verified — pass,Re-confirmed in browser post-fix; no regression.,
HIST-7,History,Delete session persist and refresh,"As a lifter, I want a confirmed delete to remove all sets for that session and update the app, so that history stays accurate",On confirm OK: state.log filters out rows with that session; save() persists; render() re-runs; toast Session deleted. Both #sessions and #historyTable reflect removal immediately.,renderHistory() ~218,Verified — pass,Re-confirmed in browser post-fix; no regression.,
HIST-8,History,Every set table columns and order,"As a lifter, I want a full ledger of every logged set in a sortable table, so that I can audit individual sets","#historyTable filled by table(rows) where rows is all state.log sorted by date desc, name asc, set asc. Columns Date, Day, Exercise, Set, kg, Reps, RIR; escaped.",renderHistory() ~219-220,Verified — pass,Re-confirmed in browser post-fix; no regression.,
HIST-9,History,Every set empty state,"As a user with no logged sets, I want the Every set section to show an empty message, so that the table area is not blank","When state.log is empty, table() returns div.empty No data yet. inside #historyTable.",renderHistory() ~219-220; table() ~304,Verified — pass,Re-confirmed in browser post-fix; no regression.,
PROG-1,Program,Program tab shell,"As a lifter, I want a dedicated Program view with editor, advanced JSON, and volume audit, so that I can manage my split in one place",Program tab shows #program: lede; #programEditor; +Add day; collapsible Advanced details with #programJson and Save JSON; Weekly volume audit heading with #volume. renderProgram() calls renderProgramEditor() then renderVolume().,renderProgram() ~223,Verified — pass,Re-confirmed in browser post-fix; no regression.,
PROG-2,Program,Day-grouped visual editor,"As a lifter, I want my program rendered as one card per training day with nested exercise cards, so that I can scan and edit my split by day","renderProgramEditor() reads prog.days() sorted numeric; each day via dayCard(d); each exercise from prog.forDay(d) via exCard(e,i,n). Day cards .pday; exercises .pex inside .pexlist.",renderProgramEditor() ~225-232,Verified — pass,Re-confirmed in browser post-fix; no regression.,
PROG-3,Program,Empty program state,"As a lifter starting fresh, I want a clear empty state when I have no training days, so that I know to add a day first","When prog.days() is empty, #programEditor shows No training days yet. Add one to start building your split. (in .table/.empty).",renderProgramEditor() ~227-229,Verified — pass,Re-confirmed in browser post-fix; no regression.,
PROG-4,Program,Add training day,"As a lifter, I want to add a new training day with one starter exercise, so that I can expand my split quickly","+Add day calls prog.addDay(): next unused Day N name, pushes Exercise (order 1, New exercise, sets 3, min 6, max 10). Sets global day, persistProgram(), full render(), toast Day added.",addDay() ~60-61; init handler ~319,Verified — pass,Re-confirmed in browser post-fix; no regression.,
PROG-5,Program,Rename training day,"As a lifter, I want to rename a day inline, so that my split labels match how I train","Inline input (data-act=renameDay). On change, prog.renameDay(old,new) trims; succeeds only if non-empty and different; updates all matching exercises and renumber(). On success, if active day matched old it switches; persistProgram(), render(), toast Day renamed. On failure resets input.",renameDay() ~62-63; bindEditor() ~272-273,Verified — pass,Re-confirmed in browser post-fix; no regression.,
PROG-6,Program,Delete training day,"As a lifter, I want to delete a day and all its exercises after confirmation, so that I can remove unused days safely","Day ✕ runs confirm(Delete {day} and all of its exercises?). If confirmed, prog.removeDay(day), persistProgram(), render(), toast Day deleted. Cancel unchanged.",removeDay() ~64; editorAction() ~283,Verified — pass,Re-confirmed in browser post-fix; no regression.,
PROG-7,Program,Day summary counts,"As a lifter, I want each day card to show exercise and set totals, so that I can gauge day volume at a glance",dayCard computes exs and sets=sum(e.sets); header shows {exs.length} ex · {sets} sets. Empty day shows No exercises yet. Add your first below.,dayCard() ~235-242,Verified — pass,Re-confirmed in browser post-fix; no regression.,
PROG-8,Program,Add exercise to a day,"As a lifter, I want to add a new exercise to a specific day, so that I can grow that day template","+Add exercise calls prog.addExercise(day): order=max order+1 (or 1); defaults New exercise, sets 3, min 6, max 10. persistProgram(), render(), toast Exercise added.",addExercise() ~55-56; editorAction() ~279,Verified — pass,Re-confirmed in browser post-fix; no regression.,
PROG-9,Program,Live edit exercise text fields,"As a lifter, I want name and muscle fields to update as I type, so that edits feel immediate","Inputs with data-field name/primary/secondary bind oninput: prog.update assigns string as-is; persistProgram(), renderVolume(), updateGauge(), updateSaveMeta() — editor not fully re-rendered, preserving focus.",bindEditor() ~268-269; Program.update() ~52-54,Verified — pass,Re-confirmed in browser post-fix; no regression.,
PROG-10,Program,Sets/rep-range editing with clamping,"As a lifter, I want sets/min/max to stay valid positive integers, so that my program never stores garbage","Number inputs (min=1, step=1) use oninput path; Program.update applies posInt(value,current). On change/blur each number input resets from model so invalid values revert. Live update does not enforce max>=min.",Program.update() ~52-53; bindEditor() ~269-270,Verified — fixed,Re-tested: Min 12 -> Max becomes 12; Max 5 -> Min becomes 5; abc/-3/blank Sets revert to stored value.,FIXED: Program.update enforces max>=min; onchange re-syncs sibling number fields; select-on-focus.
PROG-11,Program,Reorder exercises within a day,"As a lifter, I want to move exercises up or down within their day, so that I can control session order","Each exCard shows ▲(up) and ▼(down); first ▲ disabled, last ▼ disabled. Click prog.move(id,±1) swaps order with neighbor; no-op at bounds. persistProgram(), render().",move() ~58-59; editorAction() ~281-282,Verified — pass,Re-confirmed in browser post-fix; no regression.,
PROG-12,Program,Delete exercise,"As a lifter, I want to remove an exercise from a day, so that I can drop movements I no longer train","Exercise ✕ (delEx) calls prog.removeExercise(id) (filter + renumber), persistProgram(), render(), toast Exercise removed.",removeExercise() ~57; editorAction() ~280,Verified — pass,Re-confirmed in browser post-fix; no regression.,
PROG-13,Program,Raw JSON editor sync,"As a power user, I want the advanced textarea to reflect the program without clobbering my typing, so that I can inspect or bulk-edit safely","On each renderProgramEditor(), if activeElement is not #programJson, textarea set to JSON.stringify(prog.toJSON().map(drop id),null,2). While focused, sync skipped. Advanced block in details.advanced with warning lede.",renderProgramEditor() ~230,Verified — pass,Re-confirmed in browser post-fix; no regression.,
PROG-14,Program,Save program from JSON,"As a power user, I want to replace the entire program by parsing the JSON textarea, so that I can import or bulk-edit a split","Save JSON runs saveProgram(): JSON.parse must yield an array or throw. On success prog=new Program(parsed) (normalizes via Exercise), persistProgram(), sets day to first day, render(), toast Program saved. On failure toast That JSON didn't parse. Check the brackets and commas.",saveProgram() ~297-299,Verified — pass,Re-confirmed in browser post-fix; no regression.,
PROG-15,Program,Weekly volume audit bars,"As a lifter, I want a per-muscle weekly volume summary with bars, so that I can spot over/under-trained groups","renderVolume() builds prog.volume(): primary muscles +sets direct; secondary +sets*0.5; effective=d+p. Sorted desc. Each row: name, bar width max(4,round(eff/max*100))%, label {eff} sets. eff>=10 adds is-high. Empty shows No exercises in the program.","renderVolume() ~286-291; volume()/addVol() ~65-67,293",Verified — pass,Re-confirmed in browser post-fix; no regression.,
PROG-16,Program,Program persistence on visual edits,"As a lifter, I want every program change saved to localStorage immediately, so that my split survives refresh","persistProgram() sets state.program=prog.toJSON() and save(). Invoked after field edits, editor actions, add day, JSON save. Text-field edits also refresh volume and save metadata.",persistProgram() ~295; save() ~74,Verified — pass,Re-confirmed in browser post-fix; no regression.,
PROG-17,Program,Program metadata migration,"As a lifter upgrading from a legacy backup, I want program metadata synthesized on load, so that my split gains identity without losing data","When state lacks programMeta, normalizeLoaded creates { id, name:"""", started: earliest log date or null, created, updated }. Persisted on next save or boot.",normalizeProgramMeta() ~app.js,Verified — pass,Simulation: delete programMeta → reload → id restored.,
PROG-18,Program,Program summary card,"As a lifter, I want name, start date, and status on the Program tab, so that I see what program I am running","#programMeta renders editable name and started date plus read-only chips: week (if started), status label, adherence (N/M days this week), progression health, volume compliance.",renderProgramHeader() ~app.js,Verified — pass,Simulation: name edit persists; adherence chip visible.,
PROG-19,Program,Program export v2,"As a coach, I want program export to include metadata, so that shared templates carry a name and start anchor","exportProgram() writes { version:2, meta, exercises }. importProgramFile accepts v2, legacy array, or { program } shapes.",exportProgram()/importProgramFile() ~app.js,Verified — pass,Simulation: v2 round-trip with meta; legacy array import.,
SET-1,Settings,Progression settings display,"As a lifter, I want the Settings tab to show my saved progression dials, so that I can review them before editing","On every renderSettings(), #jumpPct, #minJump, #rirHigh are set from state.settings values.",renderSettings() ~301-302,Verified — pass,Re-confirmed in browser post-fix; no regression.,
SET-2,Settings,Storage note,"As a user, I want to see where my data lives, so that I understand there is no cloud copy",renderSettings() sets #storageNote explaining data is stored under localStorage key repforge_v1 and advising export before clearing site data or switching phones.,renderSettings() ~302,Verified — pass,Re-confirmed in browser post-fix; no regression.,
SET-3,Settings,Save progression settings,"As a lifter, I want to save Load jump %, Minimum jump (kg), and Target RIR ceiling, so that recommendations and rounding use my preferences","#saveSettings reads three inputs, coerces with +, applies fallbacks (jumpPct/minJump default 2.5 if falsy; rirHigh default 2), assigns state.settings, save(), render(), toast Settings saved.",init save handler ~320,Verified — fixed,Re-tested: RIR ceiling 0 and jump%% 0 persist after reload; min-jump 0 correctly floored to 2.5.,FIXED: settings validated with Number.isFinite + range; min-jump kept > 0.
SET-4,Settings,Export backup JSON,"As a user, I want to download a full JSON backup, so that I can restore program, settings, and log elsewhere","#exportJson runs exportJson(): JSON.stringify(state,null,2) to download() as application/json named repforge_backup_<date>.json.",exportJson() ~308; download() ~14,Verified — pass,Re-confirmed in browser post-fix; no regression.,
SET-5,Settings,Export log CSV,"As a user, I want my training log as CSV, so that I can analyze sets in a spreadsheet","#exportCsv builds CSV header session,date,day,name,set,load,reps,rir,notes,created; each row quoted with internal quotes doubled; downloads as text/csv named repforge_log_<today>.csv (header-only if empty).",exportCsv() ~307,Verified — pass,Re-confirmed in browser post-fix; no regression.,
SET-6,Settings,Import valid backup JSON,"As a user, I want to restore from a backup file, so that I can recover or migrate my data","#importJson reads first file, parses JSON, succeeds only if s.program exists and s.log is array; replaces state, rehydrates prog, normalizes state.program, sets day to first day, save(), render(), toast Backup imported., clears file input.",importJson() ~309,Verified — pass,Re-confirmed in browser post-fix; no regression.,
SET-7,Settings,Import invalid backup rejection,"As a user, I want clear feedback when an import fails, so that I know my current data was not replaced","If no file, parse fails, s.program missing, or s.log not array, importJson() toasts That file isn't a valid RepForge backup., leaves state unchanged, resets input.",importJson() ~309,Verified — pass,Re-confirmed in browser post-fix; no regression.,
SET-8,Settings,Delete log danger zone,"As a user, I want to wipe all logged sets with confirmation, so that I can start fresh without accidental loss","#reset opens confirm(Delete the training log? Export a backup first if you need it.); on OK sets state.log=[], save(), render(), toast Log deleted.; program and settings not cleared.",init reset handler ~322,Verified — pass,Re-confirmed in browser post-fix; no regression.,
SHELL-1,Shell / PWA,Bottom navigation tab switching,"As a user, I want to switch between Log, Stats, History, Program, and Settings, so that I can reach each section",Each nav button has data-view matching a .view section id; click toggles active on exactly one nav button and one view; defaults Log active.,init nav handler ~323,Verified — pass,Re-confirmed in browser post-fix; no regression.,
SHELL-2,Shell / PWA,Nav scroll and re-render,"As a user, I want the app refreshed when I change tabs, so that I always see current data at the top","After active-state toggling, window.scrollTo({top:0}) runs and render() re-renders all views.",init nav handler ~323; render() ~91,Verified — pass,Re-confirmed in browser post-fix; no regression.,
SHELL-3,Shell / PWA,Header brand shell,"As a user, I want a persistent top bar with branding, so that I always know which app I am using",header.topbar shows brand link (aria-label RepForge home) with mark and REP/FORGE wordmark; topbar__end holds #heatGauge and initially hidden #installBtn.,index.html ~18-29,Verified — pass,Re-confirmed in browser post-fix; no regression.,
SHELL-4,Shell / PWA,PWA install button,"As a user, I want to install RepForge to my home screen, so that it launches like a native app","beforeinstallprompt preventDefault(), stores event, unhides #installBtn; click runs prompt(), awaits userChoice, nulls installPrompt, re-hides button.",init ~313-314,Verified — pass,Re-confirmed in browser post-fix; no regression.,
SHELL-5,Shell / PWA,Toast notifications,"As a user, I want brief inline feedback messages, so that actions confirm success or failure without blocking","toast(m) sets #toast text, removes hidden, clears prior timeout, re-adds hidden after 2400ms; used across many flows.",toast() ~13,Verified — pass,Re-confirmed in browser post-fix; no regression.,
SHELL-6,Shell / PWA,Service worker registration,"As a user, I want the service worker registered on load, so that offline caching can activate","On init, if serviceWorker in navigator, register(./sw.js) runs; errors silently ignored.",init ~312,Verified — pass,Re-confirmed in browser post-fix; no regression.,
SHELL-7,Shell / PWA,Offline asset caching,"As a user, I want core app files cached, so that RepForge works offline after the first visit","sw.js install opens cache repforge-v3 and addAll(ASSETS); activate deletes other keys and clients.claim(); GET fetch serves cache-first, else network with runtime put, else falls back to cached ./index.html.",sw.js ~1-29,Verified — pass,Re-confirmed in browser post-fix; no regression.,
SHELL-8,Shell / PWA,Load state from localStorage,"As a user, I want my saved data restored on launch, so that sessions persist across reloads",load() parses localStorage KEY; returns object only if s.program exists and s.log is array; else returns default settings + built-in program + empty log.,load() ~73,Verified — pass,Re-confirmed in browser post-fix; no regression.,
SHELL-9,Shell / PWA,Save state to localStorage,"As a user, I want mutations persisted immediately, so that data survives browser restarts",save() writes JSON.stringify(state) to localStorage KEY repforge_v1; invoked after every state mutation.,save() ~74,Verified — pass,Re-confirmed in browser post-fix; no regression.,
SHELL-10,Shell / PWA,PWA manifest and metadata,"As a user, I want correct PWA install metadata, so that the installed app has the right name, colors, and scope","index.html links manifest and sets theme-color plus Apple meta; manifest defines name/short_name RepForge, standalone portrait, start_url ./index.html, scope ./, colors #0e1116, icon.svg any maskable.",index.html ~6-14; manifest ~1-19,Verified — fixed,Re-tested: no apple-mobile deprecation warning in console after cache refresh.,FIXED: added mobile-web-app-capable meta; SW cache bumped to repforge-v4.
